Name,Location,Category,Bio URL,Since Date,Description,Image URL,Tags,Latitude,Longitude,Status,Video
AJ Stuyvenberg,"Boston, MA",AWS Serverless Hero,https://aws.amazon.com/developer/community/heroes/aj-stuyvenberg/?did=dh_card&trk=dh_card,Hero since 2023,"AJ Stuyvenberg is a Staff Engineer at Datadog, and has been a member of the Serverless community since early 2017...",https://d1.awsstatic.com/getting-started-guides/new-heros-nov-2022/2023/june-2023/aj_stuyvenberg_headshot-modified.67daef4af2cdbe4462a9911ac5134554a0d5038c.png,2023|AWS Serverless Hero|Conference Speaker|namer|North America|United States,42.3554334,-71.060511,Next up,
Albert Suwandhi,"Medan, Indonesia",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/albert-suwandhi/?did=dh_card&trk=dh_card,Hero since 2022,"Albert Suwandhi is an academic and IT Professional from Medan, Indonesia. He is…...",https://d1.awsstatic.com/Developer%20Marketing/developer-center/albert-suwandhi.b488225c68ab5948fe50ff3628283afb8e9fce1c.png,Asia Pacific|Trainer / Educator|AWS Community Hero|Conference Speaker|2022|Technical Author,3.5896654,98.6738261,,
Aleksandar Simovic,"Belgrade, Serbia",AWS Serverless Hero,https://aws.amazon.com/developer/community/heroes/aleksandar-simovic/?did=dh_card&trk=dh_card,Hero since 2018,"Aleksandar is a Senior Software Engineer at Science Exchange and co-author of ""Serverless...",https://d1.awsstatic.com/Developer%20Marketing/developer-center/aleksandars-headshotcircle-100px.4c4a7345b091200ee960e4029462223f7358dc52.png,"Europe, Middle East, & Africa|Trainer / Educator|AWS Serverless Hero|Conference Speaker|Meetup Organizer|Blogger|2018|Open Source Contributor|Technical Author",44.8178131,20.4568974,,
Alex DeBrie,"Omaha, USA",AWS Data Hero,https://aws.amazon.com/developer/community/heroes/alex-debrie/?did=dh_card&trk=dh_card,Hero since 2019,"Alex is the author of The DynamoDB Book, the comprehensive guide to data modeling with...",https://d1.awsstatic.com/Developer%20Marketing/developer-center/alex-debrie-circular-headshot.233f6d03634ea98c48930c6f05937b63b8ac5200.png,Americas|Conference Speaker|North America|2019|AWS Data Hero|Technical Author|Blogger,41.2587459,-95.9383758,,
Alex Lau,Hong Kong,AWS Community Hero,https://aws.amazon.com/developer/community/heroes/alex-lau/?did=dh_card&trk=dh_card,Hero since 2023,"Alex Lau is a Lead Instructor of Tecky Academy with a focus on Full Stack, Mobile App, and ...",https://d1.awsstatic.com/getting-started-guides/new-heroes-2023/hero-sept-2023/Alex%20Lau_100.ea19499c885af97ada744699559e11af10e82534.png,Trainer / Educator|AWS Community Hero|2023|Asia Pacific|Asia Pacific (Hong Kong)|Hong Kong|2023|apac|Technical Author,22.350627,114.1849161,,
Allen Helton,"McKinney, USA",AWS Serverless Hero,https://aws.amazon.com/developer/community/heroes/allen-helton/?did=dh_card&trk=dh_card,Hero since 2022,Allen Helton is an Ecosystem Engineer at Momento with a sharp focus on serverless-first development...,https://d1.awsstatic.com/user-groups/Allen-Helton-modified.25966f3cf6b474f571ad772ed581ac8b2eda8cd7.png,Americas|2022|Conference Speaker|AWS Serverless Hero|North America|Technical Author|Blogger,33.1976496,-96.6154471,,
Alvaro Hernandez,"Madrid, Spain",AWS Data Hero,https://aws.amazon.com/developer/community/heroes/alvaro-hernandez/?did=dh_card&trk=dh_card,Hero since 2019,Alvaro is a passionate database and software developer. He founded and works as the CEO...,https://d1.awsstatic.com/Developer%20Marketing/developer-center/alvaro-hernandez-circular-headshot.fa5a9d0ba798f5d0fc4c6f471eeb829307037152.png,"Europe, Middle East, & Africa|Conference Speaker|Open Source Contributor|2019|AWS Data Hero|Technical Author",40.4167047,-3.7035825,,
Amy Tseng,"Washington D.C., USA",AWS Data Hero,https://aws.amazon.com/developer/community/heroes/amy-tseng/?did=dh_card&trk=dh_card,Hero since 2020,"Amy is a data engineering manager at Fannie Mae, specializing in data warehousing and data...",https://d1.awsstatic.com/Developer%20Marketing/developer-center/amy-tseng.7dadf41b152f126f2b43de5e5857009ef66020ca.png,2020|Americas|Conference Speaker|North America|AWS Data Hero,38.8950368,-77.0365427,,
Anahit Pogosova,"Tampere, Finland",AWS Data Hero,https://aws.amazon.com/developer/community/heroes/anahit-pogosova/?did=dh_card&trk=dh_card,Hero since 2021,"Anahit is a Lead Cloud Software Engineer at Solita, an AWS Advanced Consulting Partner…...",https://d1.awsstatic.com/Developer%20Marketing/developer-center/anahit-pogosova.ee3cb65d8a20b38e3772915b49199522161fade7.png,"Europe, Middle East, & Africa|Conference Speaker|2021|AWS Data Hero|Blogger|Technical Author",61.4980214,23.7603118,Next up,
Ananda Dwi Rahmawati,"Yogyakarta, Indonesia",AWS Container Hero,https://aws.amazon.com/developer/community/heroes/ananda-rahmawati/?did=dh_card-body&trk=dh_card-body,Hero since 2023,"Ananda works as a Sr. Cloud Infrastructure Engineer, specializing in system integration between cloud infrastructure, ...",https://d1.awsstatic.com/getting-started-guides/new-heros-nov-2022/hero_ananda_dwi_rahmawati-100.c173e873cf33241761a02d16cddafadcf3e0e8b7.png,Open Source Contributor|2023|AWS Container Hero|Cloud Administrator|Conference Speaker|Asia Pacific|Blogger|Trainer / Educator|Meetup Organizer,-7.8011998,110.3646608,,
Anders Bjørnestad,"Oslo, Norway",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/anders-bjornestad/?did=dh_card&trk=dh_card,Hero since 2018,Anders is a principal consultant at Webstep AS in Norway and helps customers architecting and building on AWS. His experience with building on....,https://d1.awsstatic.com/getting-started-guides/New-Heroes-2024/Anders-Bjornestad-100.a3791df1b868652606066fdbeac066591ddb1478.png,"Europe, Middle East, & Africa|AWS Community Hero|Trainer / Educator|Conference Speaker|Meetup Organizer|2018",59.9133301,10.7389701,Next up,
Andrew Brown,"Schreiber, Ontario Canada",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/andrew-brown/?did=dh_card&trk=dh_card,Hero since 2020,"Andrew Brown is the co-founder of ExamPro, a learning platform designed to help you pass AWS...",https://d1.awsstatic.com/getting-started-guides/New-Heroes-2024/q3/Andrew%20Brown%20100.b07863b9f6cb1b085a181e85e33e09898ebab69c.png,2020|AWS Community Hero|Trainer / Educator|Americas|Conference Speaker|North America|Blogger|Technical Author,48.8114595,-87.2627416,,
Angela Timofte,"Copenhagen, Denmark",AWS Serverless Hero,https://aws.amazon.com/developer/community/heroes/angela-timofte/?did=dh_card&trk=dh_card,Hero since 2020,"Angela is Data Platform Manager at Trustpilot. Passionate about knowledge sharing, coaching…...",https://d1.awsstatic.com/Developer%20Marketing/developer-center/angela-timofte.58e2de6834e87901e148e25fb216ef406a262894.png,"2020|Europe, Middle East, & Africa|AWS Serverless Hero|Conference Speaker|Meetup Organizer",55.6867243,12.5700724,,
Anh Ho Viet,"Hanoi, Vietnam",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/anh-ho-viet/?did=dh_card&trk=dh_card,Hero since 2017,"At OSAM, Anh and his enthusiastic team have helped many companies, from SMBs to...",https://d1.awsstatic.com/Developer%20Marketing/developer-center/anhho-headshotcircle-100px.2b5bd833aa6b704b2e2f16231609760f3a151d90.png,Meetup Organizer|2017|AWS Community Hero|Conference Speaker|Asia Pacific|Trainer / Educator,21.0283334,105.854041,,
Ankit Gupta,"Kolkata, India",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/ankit-gupta/?did=dh_card&trk=dh_card,Hero since 2019,"Ankit is working as a Associate Director, PwC India...",https://d1.awsstatic.com/Developer%20Marketing/developer-center/ankit-gupta-circular-headshot.a76ec3f0326c5b720cbc70a2f5ab04ebfff34f01.png,Meetup Organizer|Blogger|2019|AWS Community Hero|Conference Speaker|Asia Pacific|Trainer / Educator,22.5726459,88.3638953,,
Ant Stanley,"London, United Kingdom",AWS Serverless Hero,https://aws.amazon.com/developer/community/heroes/ant-stanley/?did=dh_card&trk=dh_card,Hero since 2019,Ant is a consultant and community organizer. He founded and currently runs the Serverless...,https://d1.awsstatic.com/Developer%20Marketing/Community%20Heroes/ants-headshotcircle-100px.26ab0b3a58ef0f506747585591e231f4da81a490.png,"Europe, Middle East, & Africa|Conference Speaker|AWS Serverless Hero|Meetup Organizer|Blogger|2019|Technical Author",51.4893335,-0.1440551,,
Anton Babenko,"Oslo, Norway",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/anton-babenko?did=dh_card&trk=dh_card,Hero since 2019,Anton is a long time developer and CTO. He runs a consulting company...,https://d1.awsstatic.com/getting-started-guides/new-heros-nov-2022/anton_babenko-modified.23f367001f7b41365a69b092fe6ee43459ab31f9.png,"Europe, Middle East, & Africa|AWS Community Hero|Conference Speaker|Meetup Organizer|Open Source Contributor|2019|Technical Author|Blogger",59.9133301,10.7389701,Next up,
Anurag Kale,"Gothenburg, Sweden",AWS Data Hero,https://aws.amazon.com/developer/community/heroes/anurag-kale/?did=dh_card&trk=dh_card,Hero since 2021,Anurag Kale is a Cloud and Data Architect with a proven track record in driving digital transformation through innovative...,https://d1.awsstatic.com/getting-started-guides/new-heros-nov-2022/Anurag_Anil_Kale_100.b389e5028f6b2b4be42386845c8447278d58ecbe.png,"Europe, Middle East, & Africa|Conference Speaker|Meetup Organizer|2021|AWS Data Hero|Blogger",57.7072326,11.9670171,,
Arseny Zinchenko,"Kiev, Ukraine",AWS Container Hero,https://aws.amazon.com/developer/community/heroes/arseny-zinchenko/?did=dh_card&trk=dh_card,Hero since 2021,"Arseny has over 15 years in IT working as SRE and Cloud Infrastructure Engineer,...",https://d1.awsstatic.com/Developer%20Marketing/developer-center/arseny-zinchenko.46cb1c3a6fb7509a85060d242f02b2a81819268a.png,"Trainer / Educator|Europe, Middle East, & Africa|Conference Speaker|AWS Container Hero|Meetup Organizer|2021|Open Source Contributor|Technical Author|Blogger",50.4485578,30.5271623,,
Arshad Zackeriya,"Wellington, New Zealand",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/arshad-zackeriya/?did=dh_card&trk=dh_card,Hero since 2024,"Arshad Zackeriya, a Senior Engineer at Xero, specializes in empowering organizations to deliver software at high velocity through best DevOps practices...",https://d1.awsstatic.com/getting-started-guides/New-Heroes-2024/arshad_zackeriya_100.1ff8786d3189991628c2fcb571f6198c19ea293a.png,Asia Pacific|2024|Conference Speaker|Blogger|2024|Australia & New Zealand|Meetup Organizer|AWS Community Hero|apac,-41.2887953,174.7772114,,
Austen Collins,"San Francisco, USA",AWS Serverless Hero,https://aws.amazon.com/developer/community/heroes/austen-collins/?did=dh_card&trk=dh_card,Hero since 2016,"Austen is an entrepreneur and software engineer in Oakland, CA. His focus is building cheap...",https://d1.awsstatic.com/Developer%20Marketing/developer-center/austenc-headshotcircle-100px.4f48d24e2278af921d7620df082e76cd08a9b63a.png,Americas|2016|Conference Speaker|AWS Serverless Hero|North America|Open Source Contributor|Blogger,37.7792588,-122.4193286,,
Avi Keinan,"Tel Aviv, Israel",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/avi-keinan/?did=dh_card&trk=dh_card,Hero since 2020,"Avi Keinan is a Senior Cloud Engineer at DoIT International, a strategic partner of…...",https://d1.awsstatic.com/Developer%20Marketing/developer-center/avi-keinan.ca03c1b3a8c1cc4adb952dc30ed58f717c80d64b.png,"2020|AWS Community Hero|Europe, Middle East, & Africa|Blogger|Technical Author",32.0852997,34.7818064,,
Awedis Keofteian,"Beirut, Lebanon",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/awedis-keofteian/?did=dh_card&trk=dh_card,Hero since 2024,"Awedis is a DevOps Engineer at Anghami, a leading music streaming platform. With a strong background ...",https://d1.awsstatic.com/getting-started-guides/New-Heroes-2024/Awedis-100.f4ebaed1919347909cda9577387bac8a1f8e8120.png,"Europe, Middle East, & Africa|AWS Community Hero|Conference Speaker|2024|emea|2024|Technical Author|Blogger",33.8892265,35.5025585,,
Ayyanar Jeyakrishnan,"Bengaluru, India",AWS Machine Learning Hero,https://aws.amazon.com/developer/community/heroes/ayyanar-jeyakrishnan/?did=dh_card&trk=dh_card,Hero since 2024,Ayyanar Jeyakrishnan is a Principal Engineer/Executive Director at Wells Fargo. He is a seasoned machine learning and cloud enthusiast with a  ....,https://d1.awsstatic.com/getting-started-guides/New-Heroes-2024/Ayyanar%20Jeyakrishnan%20100.d60d22b64376fd49ab99b476ea2326531679d59e.png,Trainer / Educator|Meetup Organizer|Blogger|apac|AWS Machine Learning Hero|2024|2024|Conference Speaker|Asia Pacific,12.9881567,77.6226,,
Azmi Mengu,"Istanbul, Turkey",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/azmi-mengu/?did=dh_card&trk=dh_card,Hero since 2021,Azmi Mengü is a Lead Software Developer at Lyrebird Studio. In his career he has…...,https://d1.awsstatic.com/Developer%20Marketing/developer-center/azmi-mengu.087aaabb2903b8792ef20d92e341e4772a26895d.png,"Europe, Middle East, & Africa|AWS Community Hero|Conference Speaker|Meetup Organizer|2021|Open Source Contributor|Blogger",41.006381,28.9758715,,
Becky Zhang,"Shanghai, China",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/becky-zhang/?did=dh_card&trk=dh_card,Hero since 2017,"Yu Zhang (Becky Zhang) is COO of BootDev, which focuses on Big Data solutions on AWS and...",https://d1.awsstatic.com/Developer%20Marketing/developer-center/becky-headshotcircle-100px.f45d636a66546c99d2ca296af846b2bb86e08c14.png,Asia Pacific|AWS Community Hero|Conference Speaker|2017|Meetup Organizer,31.2312707,121.4700152,,
Ben Bridts,"Antwerp, Belgium",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/ben-bridts/?did=dh_card&trk=dh_card,Hero since 2021,"Ben has been using AWS professionally since 2015 and, as an AWS Technologist at Cloudar…...",https://d1.awsstatic.com/Developer%20Marketing/developer-center/ben-bridts.cf2eac9fa0f55982f83f3557287d7656e636185b.png,"Trainer / Educator|AWS Community Hero|Europe, Middle East, & Africa|Conference Speaker|Meetup Organizer|2021|Blogger|Technical Author|Open Source Contributor",51.2211097,4.3997081,,
Ben Ellerby,"London, United Kingdom",AWS Serverless Hero,https://aws.amazon.com/developer/community/heroes/ben-ellerby/?did=dh_card&trk=dh_card,Hero since 2020,Ben is VP of Engineering for Theodo and a dedicated member of the Serverless community...,https://d1.awsstatic.com/Developer%20Marketing/developer-center/ben-ellerby.9bdd91cd3d61193455de2104a24260f7c6a738b5.png,"Europe, Middle East, & Africa|2020|AWS Serverless Hero|Conference Speaker|Open Source Contributor|Blogger",51.4893335,-0.1440551,,
Ben Kehoe,"Boston, USA",AWS Serverless Hero,https://aws.amazon.com/developer/community/heroes/ben-kehoe/?did=dh_card&trk=dh_card,Hero since 2017,"Ben works in the field of Cloud Robotics, using the internet to enable robots to do more...",https://d1.awsstatic.com/Developer%20Marketing/developer-center/benk-headshotcircle-100px.9530c035a77bdc67e38098ca2565b24782d5d2f2.png,Americas|Conference Speaker|AWS Serverless Hero|North America|2017|Technical Author|Blogger,42.3554334,-71.060511,Next up,
Bhuvaneswari Subramani,"Bengaluru, India",AWS DevTools Hero,https://aws.amazon.com/developer/community/heroes/bhuvaneswari-subramani?did=dh_card&trk=dh_card,Hero since 2019,"Bhuvaneswari Subramani is Director Engineering Operations at Infor, with...",https://d1.awsstatic.com/Developer%20Marketing/Community%20Heroes/bhuvanas-headshotcircle-100px.06d334d116d02fd51a784f64ac6765a79e4523d8.png,Asia Pacific|AWS DevTools Hero|Conference Speaker|Meetup Organizer|Blogger|2019,12.9881567,77.6226,Next up,
Boyan Dimitrov,"Munich, Germany",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/boyan-dimitrov/?did=dh_card&trk=dh_card,Hero since 2015,"Boyan is the Chief Technology Officer of SIXT, responsible for the company s tech vision and strategy. Prior to joining SIXT in 2015, Boyan...",https://d1.awsstatic.com/Developer%20Marketing/developer-center/boyan-headshotcircle-100px.ab75a96438a16c21351609ff05ddffc3d4b70a6d.png,"AWS Community Hero|Europe, Middle East, & Africa|Conference Speaker|2015|Technical Author|Open Source Contributor",48.1371079,11.5753822,Next up,
Brian Hough,"Boston, USA",AWS Dev Tools Hero,https://aws.amazon.com/developer/community/heroes/brian-hough/?did=dh_card&trk=dh_card,Hero since 2023,"Brian H. Hough is the founder of the Tech Stack Playbook , a software ...",https://d1.awsstatic.com/getting-started-guides/new-heroes-2023/hero-sept-2023/Brian%20Hough_100.ad6bf866a512b5d990a9cc470ea3c8ca8f653ff6.png,AWS DevTools Hero|2023|Conference Speaker|namer|2023|North America|Blogger,42.3554334,-71.060511,Next up,
Brian Leroux,"Vancouver, Canada",AWS Serverless Hero,https://aws.amazon.com/developer/community/heroes/brian-leroux/?did=dh_card&trk=dh_card,Hero since 2019,Brian LeRoux is the CTO of continuous delivery vehicle Begin.com and core maintainer...,https://d1.awsstatic.com/Developer%20Marketing/developer-center/brian-leroux-circular-headshot.d74cf36981ab7dee70508381710b3955c01502e1.png,Americas|AWS Serverless Hero|North America|Open Source Contributor|2019|Technical Author|Blogger,49.2608724,-123.113952,,
Brian Tarbox,"Boston, USA",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/brian-tarbox/?did=dh_card&trk=dh_card,Hero since 2019,"Brian has over thirty years experience delivering mission critical systems on-time, on-target and...",https://d1.awsstatic.com/Developer%20Marketing/developer-center/brian-tarbox-circular-headshot.265f9909a087103813e7f9ec36b23448e0582bae.png,Technical Author|Americas|North America|2019|AWS Community Hero|Meetup Organizer,42.3554334,-71.060511,Next up,
Bryan Chasko,"New Mexico, USA",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/bryan-chasko/?did=dh_card&trk=dh_card,Hero since 2018,"Over 17 years as a hands-on technology leader, Bryan Chasko has revitalized complex infrastructures; advanced patient care with edge devices,...",https://d1.awsstatic.com/Developer%20Marketing/Community%20Heroes/bryanc-headshotcircle-100px.17f2e5ad57585f85d5ed9f0527ade819e3e00475.png,Trainer / Educator|AWS Community Hero|Americas|Conference Speaker|North America|2018|Meetup Organizer|Technical Author,34.5802074,-105.996047,Next up,
Calvin Hendryx-Parker,"Indianapolis, USA",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/calvin-hendryx-parker/?did=dh_card&trk=dh_card,Hero since 2019,"Calvin Hendryx-Parker is the co-founder of Six Feet Up, a women-owned company specializing...",https://d1.awsstatic.com/Developer%20Marketing/developer-center/calvin-hendryx-parker-circular-headshot.08504dfc565eebd4e800c848b6002c9994172329.png,Americas|AWS Community Hero|Conference Speaker|North America|Meetup Organizer|2019,39.7683331,-86.1583502,,
Carlos Cortez,"Lima, Perú",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/carlos-cortez/?did=dh_card&trk=dh_card,Hero since 2021,Carlos is the founder and leader of AWS User Group Perú. He is Certified with 8 years of experience…...,https://d1.awsstatic.com/Developer%20Marketing/developer-center/carlos-cortez.dadc00fba5e7def50b0e254402beb1fb7211b3ed.png,AWS Community Hero|Americas|Trainer / Educator|Conference Speaker|Meetup Organizer|2021|Blogger|Latin America|Technical Author,-11.9043259,-76.9457573,,
Carlos Zambrano,"Bogotá, Colombia",AWS Data Hero,https://aws.amazon.com/developer/community/heroes/carlos-zambrano/?did=dh_card&trk=dh_card,Hero since 2021,Carlos is Technical Manager at Globant LLC and professor of Master in Business and…...,https://d1.awsstatic.com/Developer%20Marketing/developer-center/carlos-zambrano.255ecd89a1a6a74695c2735c44255c3865d8349f.png,Americas|Trainer / Educator|Conference Speaker|Meetup Organizer|2021|Latin America|AWS Data Hero|Blogger,4.7110053,-74.0720857,,
Chao Cai,"Beijing, China",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/chao-cai/?did=dh_card&trk=dh_card,Hero since 2022,"Chao has 15 years of world-class experience in software development, including more than…...",https://d1.awsstatic.com/Developer%20Marketing/developer-center/chao-kai.5ac282cd55074e395f94c8189aaceb0e45e8dea2.png,Asia Pacific|AWS Community Hero|Conference Speaker|2022|Blogger|Technical Author,40.190632,116.412144,,
Chris Farris,"Atlanta, USA",AWS Security Hero,https://aws.amazon.com/developer/community/heroes/chris-farris/?did=dh_card&trk=dh_card,Hero since 2023,"Chris Farris has been in IT since 1994, primarily focused on Linux, networking, and security. For the past eight years...",https://d1.awsstatic.com/getting-started-guides/new-heroes-2023/secuirty/HeadShot_chris_farris-100.6f7cb8a8a9b83c5cc8c5eec3fdfc1799cd0ca051.png,"Trainer / Educator|2023|AWS Security Hero|Security, Identity, & Compliance|Conference Speaker|North America|Meetup Organizer|2023|United States|Open Source Contributor",33.7489924,-84.3902644,Next up,
Chris Miller,"Santa Cruz, USA",AWS Machine Learning Hero,https://aws.amazon.com/developer/community/heroes/chris-miller/?did=dh_card&trk=dh_card,Hero since 2021,"Chris Miller is an entrepreneur, inventor, and CEO of Cloud Brigade, an AWS Select…...",https://d1.awsstatic.com/Developer%20Marketing/developer-center/chris-miller.7c658e7232ec12eb8cdc046d3ce0b70108de5f42.png,Americas|Conference Speaker|AWS Machine Learning Hero|Meetup Organizer|2021|North America|Open Source Contributor|Blogger,37.050096,-121.99059,,
Chris Williams,"Portsmouth, USA",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/chris-williams/?did=dh_card&trk=dh_card,Hero since 2019,Chris Williams is the DevRel Mgr for North America for HashiCorp...,https://d1.awsstatic.com/getting-started-guides/New-Heroes-2024/Chris-Williams-100.7e205c7ef4a9320054a5cb2c55799ee2bce42561.png,AWS Community Hero|Americas|Conference Speaker|Meetup Organizer|North America|Blogger|2019,36.8320081,-76.297699,Done,https://youtu.be/eHwJg7XEoDk?si=g1z9yvjSj2YKisC9
Colin Percival,"Vancouver, Canada",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/colin-percival?did=dh_card&trk=dh_card,Hero since 2019,"Colin is the founder of Tarsnap, a secure online backup service which combines...",https://d1.awsstatic.com/Developer%20Marketing/Community%20Heroes/colinp-headshotcircle-100px.f1ad49b52983c74347e636a6b05ecbcfc1a63b24.png,AWS Community Hero|Americas|North America|2019|Blogger|Technical Author|Open Source Contributor,49.2608724,-123.113952,,
Cosmin Sanda,"Copenhagen, Denmark",AWS Machine Learning Hero,https://www.linkedin.com/in/cosmincatalinsanda/,Hero from 2020 - 2022,No description...,https://d1.awsstatic.com/Developer%20Marketing/developer-center/cosmin-sanda.a1a4d9992f5c1fd4a10addbe47552bd5f198563f.png,"Europe, Middle East, & Africa|alumni-hero|AWS Machine Learning Hero|Meetup Organizer|Open Source Contributor|Blogger",55.6867243,12.5700724,,
