Name,Location,Category,Bio URL,Since Date,Description,Image URL,Date Created,Date Updated,Tags
AJ Stuyvenberg,"  Boston, MA",AWS Serverless Hero,https://aws.amazon.com/developer/community/heroes/aj-stuyvenberg/?did=dh_card&trk=dh_card,Hero since 2023,"<p>AJ Stuyvenberg is a Staff Engineer at Datadog, and has been a member of the Serverless community since early 2017...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/aj-stuyvenberg/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/new-heros-nov-2022/2023/june-2023/aj_stuyvenberg_headshot-modified.67daef4af2cdbe4462a9911ac5134554a0d5038c.png,2023-06-02T21:11:20+0000,2025-03-04T18:37:46+0000,2023|AWS Serverless Hero|Conference Speaker|namer|North America|United States
Albert Suwandhi,"Medan, Indonesia",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/albert-suwandhi/?did=dh_card&trk=dh_card,Hero since 2022,"<p>Albert Suwandhi is an academic and IT Professional from Medan, Indonesia. He is…</p><p><a href=""https://aws.amazon.com/developer/community/heroes/albert-suwandhi/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/albert-suwandhi.b488225c68ab5948fe50ff3628283afb8e9fce1c.png,2022-03-16T18:00:00+0000,2025-03-04T18:37:46+0000,Asia Pacific|Trainer / Educator|AWS Community Hero|Conference Speaker|2022|Technical Author
Aleksandar Simovic,"Belgrade, Serbia",AWS Serverless Hero,https://aws.amazon.com/developer/community/heroes/aleksandar-simovic/?did=dh_card&trk=dh_card,Hero since 2018,"<p>Aleksandar is a Senior Software Engineer at Science Exchange and co-author of ""Serverless...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/aleksandar-simovic/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/aleksandars-headshotcircle-100px.4c4a7345b091200ee960e4029462223f7358dc52.png,2019-02-19T19:55:30+0000,2025-03-04T18:37:46+0000,"Europe, Middle East, & Africa|Trainer / Educator|AWS Serverless Hero|Conference Speaker|Meetup Organizer|Blogger|2018|Open Source Contributor|Technical Author"
Alex DeBrie,"Omaha, USA",AWS Data Hero,https://aws.amazon.com/developer/community/heroes/alex-debrie/?did=dh_card&trk=dh_card,Hero since 2019,"<p>Alex is the author of The DynamoDB Book, the comprehensive guide to data modeling with...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/alex-debrie/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/alex-debrie-circular-headshot.233f6d03634ea98c48930c6f05937b63b8ac5200.png,2019-11-06T17:18:55+0000,2025-03-04T18:37:46+0000,Americas|Conference Speaker|North America|2019|AWS Data Hero|Technical Author|Blogger
Alex Lau,Hong Kong,AWS Community Hero,https://aws.amazon.com/developer/community/heroes/alex-lau/?did=dh_card&trk=dh_card,Hero since 2023,"<p>Alex Lau is a Lead Instructor of Tecky Academy with a focus on Full Stack, Mobile App, and ...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/alex-lau/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/new-heroes-2023/hero-sept-2023/Alex%20Lau_100.ea19499c885af97ada744699559e11af10e82534.png,2023-08-31T18:39:49+0000,2025-03-04T18:37:46+0000,Trainer / Educator|AWS Community Hero|2023|Asia Pacific|Asia Pacific (Hong Kong)|Hong Kong|2023|apac|Technical Author
Allen Helton,"McKinney, USA",AWS Serverless Hero,https://aws.amazon.com/developer/community/heroes/allen-helton/?did=dh_card&trk=dh_card,Hero since 2022,"<p>Allen Helton is an Ecosystem Engineer at Momento with a sharp focus on serverless-first development&hellip;</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/allen-helton/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/user-groups/Allen-Helton-modified.25966f3cf6b474f571ad772ed581ac8b2eda8cd7.png,2022-08-22T17:48:20+0000,2025-03-04T18:37:46+0000,Americas|2022|Conference Speaker|AWS Serverless Hero|North America|Technical Author|Blogger
Alvaro Hernandez,"Madrid, Spain",AWS Data Hero,https://aws.amazon.com/developer/community/heroes/alvaro-hernandez/?did=dh_card&trk=dh_card,Hero since 2019,"<p>Alvaro is a passionate database and software developer. He founded and works as the CEO...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/alvaro-hernandez/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/alvaro-hernandez-circular-headshot.fa5a9d0ba798f5d0fc4c6f471eeb829307037152.png,2019-11-06T17:19:00+0000,2025-03-04T18:37:46+0000,"Europe, Middle East, & Africa|Conference Speaker|Open Source Contributor|2019|AWS Data Hero|Technical Author"
Amy Tseng,"Washington D.C., USA",AWS Data Hero,https://aws.amazon.com/developer/community/heroes/amy-tseng/?did=dh_card&trk=dh_card,Hero since 2020,"<p>Amy is a data engineering manager at Fannie Mae, specializing in data warehousing and data...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/amy-tseng/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/amy-tseng.7dadf41b152f126f2b43de5e5857009ef66020ca.png,2020-05-27T17:24:35+0000,2025-03-04T18:37:46+0000,2020|Americas|Conference Speaker|North America|AWS Data Hero
Anahit Pogosova,"Tampere, Finland",AWS Data Hero,https://aws.amazon.com/developer/community/heroes/anahit-pogosova/?did=dh_card&trk=dh_card,Hero since 2021,"<p>Anahit is a Lead Cloud Software Engineer at Solita, an AWS Advanced Consulting Partner…</p><p><a href=""https://aws.amazon.com/developer/community/heroes/anahit-pogosova/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/anahit-pogosova.ee3cb65d8a20b38e3772915b49199522161fade7.png,2021-06-03T18:05:17+0000,2025-03-04T18:37:46+0000,"Europe, Middle East, & Africa|Conference Speaker|2021|AWS Data Hero|Blogger|Technical Author"
Ananda Dwi Rahmawati,"Yogyakarta, Indonesia",AWS Container Hero,https://aws.amazon.com/developer/community/heroes/ananda-rahmawati/?did=dh_card-body&trk=dh_card-body,Hero since 2023,"<p>Ananda works as a Sr. Cloud Infrastructure Engineer, specializing in system integration between cloud infrastructure, ...&nbsp;</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/ananda-rahmawati/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/new-heros-nov-2022/hero_ananda_dwi_rahmawati-100.c173e873cf33241761a02d16cddafadcf3e0e8b7.png,2023-03-02T22:26:01+0000,2025-03-04T18:37:46+0000,Open Source Contributor|2023|AWS Container Hero|Cloud Administrator|Conference Speaker|Asia Pacific|Blogger|Trainer / Educator|Meetup Organizer
Anders Bjørnestad,"Oslo, Norway",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/anders-bjornestad/?did=dh_card&trk=dh_card,Hero since 2018,"<p>Anders is a principal consultant at <a href=""https://www.webstep.no"" rel=""noopener"" target=""_blank"">Webstep AS</a> in Norway and helps customers architecting and building on AWS. His experience with building on....</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/anders-bjornestad/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/New-Heroes-2024/Anders-Bjornestad-100.a3791df1b868652606066fdbeac066591ddb1478.png,2019-02-19T19:55:26+0000,2025-03-04T18:37:46+0000,"Europe, Middle East, & Africa|AWS Community Hero|Trainer / Educator|Conference Speaker|Meetup Organizer|2018"
Andrew Brown,"Schreiber, Ontario Canada",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/andrew-brown/?did=dh_card&trk=dh_card,Hero since 2020,"<p>Andrew Brown is the co-founder of ExamPro, a learning platform designed to help you pass AWS...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/andrew-brown/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/getting-started-guides/New-Heroes-2024/q3/Andrew%20Brown%20100.b07863b9f6cb1b085a181e85e33e09898ebab69c.png,2020-05-27T17:22:41+0000,2025-03-04T18:37:46+0000,2020|AWS Community Hero|Trainer / Educator|Americas|Conference Speaker|North America|Blogger|Technical Author
Angela Timofte,"Copenhagen, Denmark",AWS Serverless Hero,https://aws.amazon.com/developer/community/heroes/angela-timofte/?did=dh_card&trk=dh_card,Hero since 2020,"<p>Angela is Data Platform Manager at Trustpilot. Passionate about knowledge sharing, coaching…</p><p><a href=""https://aws.amazon.com/developer/community/heroes/angela-timofte/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/angela-timofte.58e2de6834e87901e148e25fb216ef406a262894.png,2020-08-20T17:34:18+0000,2025-03-04T18:37:46+0000,"2020|Europe, Middle East, & Africa|AWS Serverless Hero|Conference Speaker|Meetup Organizer"
Anh Ho Viet,"Hanoi, Vietnam",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/anh-ho-viet/?did=dh_card&trk=dh_card,Hero since 2017,"<p>At OSAM, Anh and his enthusiastic team have helped many companies, from SMBs to...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/anh-ho-viet/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/anhho-headshotcircle-100px.2b5bd833aa6b704b2e2f16231609760f3a151d90.png,2019-02-19T19:55:23+0000,2025-03-04T18:37:46+0000,Meetup Organizer|2017|AWS Community Hero|Conference Speaker|Asia Pacific|Trainer / Educator
Ankit Gupta,"Kolkata, India",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/ankit-gupta/?did=dh_card&trk=dh_card,Hero since 2019,"<p>Ankit is working as a Associate Director, PwC India...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/ankit-gupta/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/Developer%20Marketing/developer-center/ankit-gupta-circular-headshot.a76ec3f0326c5b720cbc70a2f5ab04ebfff34f01.png,2019-11-06T17:19:05+0000,2025-03-04T18:37:46+0000,Meetup Organizer|Blogger|2019|AWS Community Hero|Conference Speaker|Asia Pacific|Trainer / Educator
Ant Stanley,"London, United Kingdom",AWS Serverless Hero,https://aws.amazon.com/developer/community/heroes/ant-stanley/?did=dh_card&trk=dh_card,Hero since 2019,"<p>Ant is a consultant and community organizer. He founded and currently runs the Serverless...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/ant-stanley/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/Community%20Heroes/ants-headshotcircle-100px.26ab0b3a58ef0f506747585591e231f4da81a490.png,2019-03-01T00:12:31+0000,2025-03-04T18:37:46+0000,"Europe, Middle East, & Africa|Conference Speaker|AWS Serverless Hero|Meetup Organizer|Blogger|2019|Technical Author"
Anton Babenko,"Oslo, Norway",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/anton-babenko?did=dh_card&trk=dh_card,Hero since 2019,"<p>Anton is a long time developer and CTO. He runs a consulting company...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/anton-babenko?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/getting-started-guides/new-heros-nov-2022/anton_babenko-modified.23f367001f7b41365a69b092fe6ee43459ab31f9.png,2019-06-05T16:48:13+0000,2025-03-04T18:37:47+0000,"Europe, Middle East, & Africa|AWS Community Hero|Conference Speaker|Meetup Organizer|Open Source Contributor|2019|Technical Author|Blogger"
Anurag Kale,"Gothenburg, Sweden",AWS Data Hero,https://aws.amazon.com/developer/community/heroes/anurag-kale/?did=dh_card&trk=dh_card,Hero since 2021,"<p>Anurag Kale is a Cloud and Data Architect with a proven track record in driving digital transformation through innovative.&hellip;</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/anurag-kale/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/new-heros-nov-2022/Anurag_Anil_Kale_100.b389e5028f6b2b4be42386845c8447278d58ecbe.png,2021-06-03T18:05:27+0000,2025-03-04T18:37:47+0000,"Europe, Middle East, & Africa|Conference Speaker|Meetup Organizer|2021|AWS Data Hero|Blogger"
Arseny Zinchenko,"Kiev, Ukraine",AWS Container Hero,https://aws.amazon.com/developer/community/heroes/arseny-zinchenko/?did=dh_card&trk=dh_card,Hero since 2021,"<p>Arseny has over 15 years in IT working as SRE and Cloud Infrastructure Engineer,&hellip;</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/arseny-zinchenko/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/Developer%20Marketing/developer-center/arseny-zinchenko.46cb1c3a6fb7509a85060d242f02b2a81819268a.png,2021-06-03T18:05:37+0000,2025-03-04T18:37:47+0000,"Trainer / Educator|Europe, Middle East, & Africa|Conference Speaker|AWS Container Hero|Meetup Organizer|2021|Open Source Contributor|Technical Author|Blogger"
Arshad Zackeriya,"Wellington, New Zealand",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/arshad-zackeriya/?did=dh_card&trk=dh_card,Hero since 2024,"<p>Arshad Zackeriya, a Senior Engineer at Xero, specializes in empowering organizations to deliver software at high velocity through best DevOps practices. &hellip;</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/arshad-zackeriya/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/New-Heroes-2024/arshad_zackeriya_100.1ff8786d3189991628c2fcb571f6198c19ea293a.png,2024-06-03T15:41:07+0000,2025-03-04T18:37:47+0000,Asia Pacific|2024|Conference Speaker|Blogger|2024|Australia & New Zealand|Meetup Organizer|AWS Community Hero|apac
Austen Collins,"San Francisco, USA",AWS Serverless Hero,https://aws.amazon.com/developer/community/heroes/austen-collins/?did=dh_card&trk=dh_card,Hero since 2016,"<p>Austen is an entrepreneur and software engineer in Oakland, CA. His focus is building cheap...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/austen-collins/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/austenc-headshotcircle-100px.4f48d24e2278af921d7620df082e76cd08a9b63a.png,2019-02-19T19:55:20+0000,2025-03-04T18:37:47+0000,Americas|2016|Conference Speaker|AWS Serverless Hero|North America|Open Source Contributor|Blogger
Avi Keinan,"Tel Aviv, Israel",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/avi-keinan/?did=dh_card&trk=dh_card,Hero since 2020,"<p>Avi Keinan is a Senior Cloud Engineer at DoIT International, a strategic partner of…</p><p><a href=""https://aws.amazon.com/developer/community/heroes/avi-keinan/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/avi-keinan.ca03c1b3a8c1cc4adb952dc30ed58f717c80d64b.png,2020-08-20T17:34:27+0000,2025-03-04T18:37:47+0000,"2020|AWS Community Hero|Europe, Middle East, & Africa|Blogger|Technical Author"
Awedis Keofteian," Beirut, Lebanon",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/awedis-keofteian/?did=dh_card&trk=dh_card,Hero since 2024,"<p>Awedis is a DevOps Engineer at Anghami, a leading music streaming platform. With a strong background ...</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/awedis-keofteian/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>

<p>&nbsp;</p>
",https://d1.awsstatic.com/getting-started-guides/New-Heroes-2024/Awedis-100.f4ebaed1919347909cda9577387bac8a1f8e8120.png,2024-03-04T16:47:18+0000,2025-03-04T18:37:47+0000,"Europe, Middle East, & Africa|AWS Community Hero|Conference Speaker|2024|emea|2024|Technical Author|Blogger"
Ayyanar Jeyakrishnan,"Bengaluru, India",AWS Machine Learning Hero,https://aws.amazon.com/developer/community/heroes/ayyanar-jeyakrishnan/?did=dh_card&trk=dh_card,Hero since 2024,"<p>&nbsp;</p>

<p>Ayyanar Jeyakrishnan is a Principal Engineer/Executive Director at Wells Fargo. He is&nbsp;a&nbsp;seasoned&nbsp;machine learning and cloud enthusiast&nbsp;with a&nbsp; ....</p>

<p><a href=""https://aws.amazon.com/developer/community/heroes/ayyanar-jeyakrishnan/?did=dh_card-body&amp;trk=dh_card-body"" rel=""noopener"" target=""_blank"">Learn more &raquo;</a></p>
",https://d1.awsstatic.com/getting-started-guides/New-Heroes-2024/Ayyanar%20Jeyakrishnan%20100.d60d22b64376fd49ab99b476ea2326531679d59e.png,2024-10-30T19:35:59+0000,2025-03-04T18:37:47+0000,Trainer / Educator|Meetup Organizer|Blogger|apac|AWS Machine Learning Hero|2024|2024|Conference Speaker|Asia Pacific
Azmi Mengu,"Istanbul, Turkey",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/azmi-mengu/?did=dh_card&trk=dh_card,Hero since 2021,"<p>Azmi Mengü is a Lead Software Developer at Lyrebird Studio. In his career he has…</p><p><a href=""https://aws.amazon.com/developer/community/heroes/azmi-mengu/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/azmi-mengu.087aaabb2903b8792ef20d92e341e4772a26895d.png,2021-06-03T18:05:49+0000,2025-03-04T18:37:47+0000,"Europe, Middle East, & Africa|AWS Community Hero|Conference Speaker|Meetup Organizer|2021|Open Source Contributor|Blogger"
Becky Zhang,"Shanghai, China",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/becky-zhang/?did=dh_card&trk=dh_card,Hero since 2017,"<p>Yu Zhang (Becky Zhang) is COO of BootDev, which focuses on Big Data solutions on AWS and...</p><p><a href=""https://aws.amazon.com/developer/community/heroes/becky-zhang/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/becky-headshotcircle-100px.f45d636a66546c99d2ca296af846b2bb86e08c14.png,2019-02-19T19:55:13+0000,2025-03-04T18:37:47+0000,Asia Pacific|AWS Community Hero|Conference Speaker|2017|Meetup Organizer
Ben Bridts,"Antwerp, Belgium",AWS Community Hero,https://aws.amazon.com/developer/community/heroes/ben-bridts/?did=dh_card&trk=dh_card,Hero since 2021,"<p>Ben has been using AWS professionally since 2015 and, as an AWS Technologist at Cloudar…</p><p><a href=""https://aws.amazon.com/developer/community/heroes/ben-bridts/?did=dh_card-body&trk=dh_card-body"" target=""_blank"" rel=""noopener"">Learn more »</a></p>",https://d1.awsstatic.com/Developer%20Marketing/developer-center/ben-bridts.cf2eac9fa0f55982f83f3557287d7656e636185b.png,2021-03-11T20:33:12+0000,2025-03-04T18:37:47+0000,"Trainer / Educator|AWS Community Hero|Europe, Middle East, & Africa|Conference Speaker|Meetup Organizer|2021|Blogger|Technical Author|Open Source Contributor"
